Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Freserveien 45, Oslo,112 ,8 100 000,2
Sloreåsen 12B, Oslo,76 ,4 500 000,2
Skjelderups gate 15B, Oslo,40 ,4 400 000,1
Gunnulvs vei 16, Oslo,66 ,3 450 000,2
Giskehagen 36, Oslo,141 ,13 200 000,3
Eckersbergs gate 55, Oslo,107 ,14 800 000,2
Frysjaveien 17C, Oslo,66 ,4 750 000,2
John Colletts allé 7, Oslo,85 ,10 350 000,2
Lavrans vei 2, Oslo,68 ,3 700 000,2
Ullevålsveien 57, Oslo,69 ,5 350 000,2
Sofies gate 48, Oslo,100 ,10 490 000,3
Ekebergveien 152D, Oslo,121 ,9 900 000,3
Munkedamsveien 84B, Oslo,60 ,6 500 000,2
Vækerøveien 130C, Oslo,98 ,7 800 000,2
Enerhauggata 3, Oslo,73 ,5 900 000,2
Bernt Ankers gate 31, Oslo,71 ,6 500 000,2
Rosenlundgata 6B, Oslo,41 ,3 990 000,1
Nedre Vaskegang 2, Oslo,58 ,5 100 000,2
 Kikut hus C3 - trinn 5 - Visningssenter i Frysjaveien 44 for alle trinn, Oslo,132 ,17 500 000,4
Beverveien 7, Oslo,86 ,3 200 000,3
Peter Møllers vei 2B, Oslo,56 ,5 200 000,2
Høybråtenveien 3E, Oslo,103 ,4 100 000,4
Lørenveien 44 A, Oslo,73 ,5 700 000 ,NaN
Skovveien 4, Oslo,74 ,7 700 000,2
Snippen 2, Oslo,86 ,7 790 000,3
Oppsalstubben 1B, Oslo,39 ,3 300 000,1
Eckersbergs gate 33B, Oslo,48 ,5 690 000,2
Pilestredet Park 11A, Oslo,28 ,3 800 000,1
Frederik Glads gate 22C, Oslo,50 ,3 950 000,2
Sørligata 2A, Oslo,71 ,4 990 000,2
Radarveien 34, Oslo,53 ,3 300 000,1
Dyretråkket 34, Oslo,92 ,3 400 000,3
Ullevålsveien 110 B, Oslo,51 ,4 650 000,1
Torggata 27, Oslo,84 ,6 500 000,5
HELLINGA 8, Oslo,97 ,6 850 000,3
Brobekkveien 55D, Oslo,112 ,10 000 000,3
Holmenveien 16, Oslo,100 ,9 800 000,2
Nils Huus' gate 6, Oslo,24 ,1 690 000,1
Ravnkollbakken 39, Oslo,81 ,2 950 000,2
Kristiansands gate 11B, Oslo,60 ,4 600 000,2
Gladengveien 6B, Oslo,72 ,3 940 000,2
Østreheimsveien 38, Oslo,70 ,6 300 000,2
Tuengen allé 1A, Oslo,156 ,28 000 000,3
Prost Hallings vei 39 A, Oslo,23 ,2 610 000,NaN
